date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1996-02-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Maize (white),KG,actual,Retail,SOS,162.0,0.0164
1996-02-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,331.0,0.0336
1996-02-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,208.0,0.0211
1996-02-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1250.0,0.1267
1996-02-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1350.0,0.1369
1996-02-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4050.0,0.4106
1996-02-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1100.0,0.1115
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Maize (white),KG,actual,Retail,SOS,144.0,0.0146
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,282.0,0.0286
1996-02-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,129.0,0.0131
1996-03-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Maize (white),KG,actual,Retail,SOS,288.0,0.0289
1996-03-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,529.0,0.053
1996-03-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,269.0,0.0269
1996-03-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1250.0,0.1252
1996-03-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1300.0,0.1302
1996-03-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4600.0,0.4608
1996-03-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1100.0,0.1102
1996-03-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3000.0,0.3005
1996-03-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5250.0,0.5259
1996-03-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Maize (white),KG,actual,Retail,SOS,245.0,0.0245
1996-03-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,400.0,0.0401
1996-04-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Maize (white),KG,actual,Retail,SOS,305.0,0.0302
1996-04-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,688.0,0.0681
1996-04-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,330.0,0.0326
1996-04-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1750.0,0.1731
1996-04-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1333.0,0.1319
1996-04-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3533.0,0.3495
1996-04-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1167.0,0.1154
1996-04-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3250.0,0.3215
1996-04-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4500.0,0.4451
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Maize (white),KG,actual,Retail,SOS,402.0,0.0398
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,593.0,0.0587
1996-04-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,354.0,0.035
1996-05-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Maize (white),KG,actual,Retail,SOS,600.0,0.0586
1996-05-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,1050.0,0.1026
1996-05-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,459.0,0.0449
1996-05-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,2433.0,0.2378
1996-05-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3400.0,0.3323
1996-05-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3750.0,0.3665
1996-05-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3500.0,0.342
1996-05-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1950.0,0.1906
1996-05-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4450.0,0.4349
1996-05-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1350.0,0.1319
1996-05-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Maize (white),KG,actual,Retail,SOS,4500.0,0.4398
1996-05-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5500.0,0.5375
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Maize (white),KG,actual,Retail,SOS,705.0,0.0689
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,867.0,0.0847
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,669.0,0.0654
1996-06-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Maize (white),KG,actual,Retail,SOS,633.0,0.0611
1996-06-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,1042.0,0.1006
1996-06-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,588.0,0.0568
1996-06-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,2100.0,0.2027
1996-06-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3500.0,0.3378
1996-06-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4000.0,0.3861
1996-06-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1863.0,0.1798
1996-06-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4350.0,0.4199
1996-06-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1200.0,0.1158
1996-06-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3500.0,0.3378
1996-06-15,Juba Hoose,Kismaayo,Kismayo,-0.360289990901947,42.546260833740234,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4500.0,0.4344
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Maize (white),KG,actual,Retail,SOS,633.0,0.0611
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,873.0,0.0843
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603271484,44.06678009033203,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,637.0,0.0615
1996-07-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Maize (white),KG,actual,Retail,SOS,800.0,0.0763
1996-07-15,Awdal,Borama,Borama,9.938690185546875,43.183921813964844,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,1200.0,0.1145
